FRAME_NUM,TIME_STAMP,TARGET_ID,TARGET_X,TARGET_Y,TARGET_Z,TARGET_ID,TARGET_X,TARGET_Y,TARGET_Z,TARGET_ID,TARGET_X,TARGET_Y,TARGET_Z,TARGET_ID,TARGET_X,TARGET_Y,TARGET_Z,TARGET_ID,TARGET_X,TARGET_Y,TARGET_Z,TARGET_ID,TARGET_X,TARGET_Y,TARGET_Z,TARGET_ID,TARGET_X,TARGET_Y,TARGET_Z,TARGET_ID,TARGET_X,TARGET_Y,TARGET_Z,TARGET_ID,TARGET_X,TARGET_Y,TARGET_Z,TARGET_ID,TARGET_X,TARGET_Y,TARGET_Z
236,Jun-23-2022 15:22:26.140,2,0.25,1.34,1.00,1,-0.65,1.84,1.81
237,Jun-23-2022 15:22:26.251,2,0.27,1.33,1.02,1,-0.66,1.86,1.81
238,Jun-23-2022 15:22:26.362,2,0.26,1.32,1.05,1,-0.60,1.86,1.76
239,Jun-23-2022 15:22:26.473,2,0.30,1.29,1.12,1,-0.59,1.88,1.76
240,Jun-23-2022 15:22:26.584,2,0.26,1.27,1.11,1,-0.63,1.70,1.59
241,Jun-23-2022 15:22:26.695,2,0.22,1.28,1.08,1,-0.58,1.70,1.65
242,Jun-23-2022 15:22:26.807,2,0.23,1.28,1.12,1,-0.57,1.69,1.65
243,Jun-23-2022 15:22:26.918,2,0.23,1.28,1.09,1,-0.57,1.68,1.65
244,Jun-23-2022 15:22:27.029,2,0.23,1.28,1.11,1,-0.61,1.69,1.72
245,Jun-23-2022 15:22:27.140,2,0.23,1.29,1.13,1,-0.60,1.69,1.72
246,Jun-23-2022 15:22:27.251,2,0.23,1.28,1.12,1,-0.60,1.69,1.72
247,Jun-23-2022 15:22:27.362,2,0.23,1.26,1.07,1,-0.60,1.69,1.72
248,Jun-23-2022 15:22:27.473,2,0.21,1.27,1.09
249,Jun-23-2022 15:22:27.584,2,0.21,1.28,1.08
250,Jun-23-2022 15:22:27.695,2,0.26,1.27,1.20
